pull_request_id,pr_src_title
278701,WIP: Add completions index to job controller
283516,mount rbd device back if detach it failed
243298,docs/proposal: add proposal for kubectl login
275312,optimize requestcontext: use RWMutex to improve r/w performance
245688,proposal: huge page support
276093,Automated cherry pick of #61404: apiserver's webhook admission use its own scheme
213384,Fix --override and --patch flags in kubectl
273570,Automated cherry pick of #57265: By default block service proxy to external IP addresses.
232279,Add --force to `kubectl update`
233798,Update spf13/pflag to fix StringSlice bug
282809,Refactored cloud controller manager flogs into constants
211497,Cadvisor 0.5.0
238821,Allow replica set to be exposed as a service and add kubectl command tests for replica sets.
245361,Introduce endpointnamespace in glustervolumesource
239653,Improve ingress e2es
256761,Pods which exit and won't restart should not be in the Endpoints.NotReadyAddresses
276119,begin wiring printflags through set cmds
247909,Add a cloudprovider validator flag to kubeadm and update the DNS spec
273388,Add RBAC information to audit logs
288213,Fix missing resource version when updating the scale subresource of custom resource
237561,fix image gc bug
285434,Enable PVC as DataSource for PVC creation
291679,Add API for clear descriptor status
282707,resourcequota: use dynamic informer
244222,Support for preexisting replicas and estimated capacity in federated replicaset controller
290541,feat: implement node unschedulable as a filter plugin
239480,Don't double count graceful deletion
276542,Automated cherry pick of #61911 upstream release 1.10
275980,Update Istio addon to 0.6.0 and mirror images in gcr
241656,add discovery restmapper for known types
261640,allow heapster option defaults to be set - kubectl top node|pod
245844,Proposal: SELinux enhancements
229856,Config Resource Proposal
253258,Add an e2e test for AdvancedAuditing
280840,Add volumeAttachment e2e test for in-tree drivers
245631,Add seccomp and apparmor support.
288130,Test verify attach
231077,Proxy infrastructure for NodePorts
242679,controller: update all rs annotations on a scaled rollout
261400,add alpha api gate at gce cloud provider
229307,Spark example
239912,Add generalized performance data type in e2e test
261653,WIP: Add e2e measure tool for API coverage
273561,Support rbd-nbd for mounting operations on Ceph rbd volumes
251881,add dockershim checkpoint node e2e test
252572,Add Simplified Chinese translation for kubectl
232455,Adding proper timeouts.
286708,[WIP] kubeadm: Makes UID and GID of static control plane pods configurable
252763,Fix unit tests for autoregister_controller.go reliable
231809,Restore service latency test & fix bugs
233397,Adding a Java EE sample
250953,Assignment script for assigning sigs to individual E2Es
253397,Add Japanese translation for kubectl
273563,Automated cherry pick of #57265: By default block service proxy to external IP addresses.
293567,Added non-randomized tests of matching FlowSchema rules
273567,Automated cherry pick of #57265: By default block service proxy to external IP addresses.
259882,Keystone Authentication using Bearer Token
210615,WIP: ip per service
232560,add kube-dns for docker k8s
273872,Add tests for equivalence cache
239815,libvirt_coreos: Add DNS and raise loglevel
244899,Automated cherry pick of #31947
211280,WIP: add kubernetes_nginx to contrib/
238091,add e2e test for network partition
289908,[migration] Mapping Layer - 1. A mapping from predicates/priorities to plugin configuration
276691,scheduler: fix race condition in equivalence cache
241954,Avoid comparing pod-template-hash when getting a deployment's new/old RSes
210224,Add a caching minion registry.
242028,Automated cherry pick of #26792 upstream release 1.2
244752,Check for EmptyConfig errors when trying to use in-cluster config
248714,Add unit tests for operation_executor
245136,dockershim: add unit tests for sandbox/container status
248827,Able to quick create a HA cluster by kube-up.sh centos provider
291750,Add more tests for the pod disruption budget endpoints
240828,Move ActiveDeadlineSeconds implementation into a kubelet sync observer
287344,Support single logical operation in jsonpath
211870,"Issue 2948: fix ""kubectl get events"" result not sorted"
260136,Ring buffer for shared informer notifications
278573,Add finalizer cleanup logic to service controller to support lb finalizer protection
242116,Basic audit log
237878,PLEG should report events if a container is removed
269319,Runtime type checks of Unstructured content
273704,convert daemonset's rollback without restarts e2e test
274272,Block Volume Support: Local Volume Plugin update
212821,Add inline JSON patching to kubectl update ...
235825,Failed docker health check and mark the node NotReady when docker version is below 1.6.2 (API ve…
259029,ScaleIO Volume Plugin - Volume attribute fixes and updates
239093,Fix sinceTime pod log options
234835,Require cpu and memory cgroups to be mounted 
277884,Add `kubectl auth can-i --list` option which could help users know what actions they can do in specific namespace
247431,plumb in front proxy group header
243896,Add GUBERNATOR flag which produces g8r link for node e2e tests
231878,Juju Documentation Update
211629,Add validation back in
237003,Gang scheduling proposal doc
281523,Validate kubeconfig files in case of external CA mode
242077,rkt: Do not run rkt pod inside a pre-created netns when network plugin is no-op
228599,Add test for secret RESTStorage
260557,ScaleIO Volume Plugin - volume attribute updates
238349,Image locality aware scheduler priority
274987,E2E: add tests for PSP in the policy API Group
266705,Sync the status of load balancer for service
211035,Launch a browser when kubecfg is launched in proxy mode.
236192,Automated cherry pick of #15994 upstream release 1.1
249333,add unit test cases for kubelet.util.sliceutils
274537,Add Local PV stress test
232575,Fix up alignment of columns w/ namespaces.
288233,[FEATURE BRANCH] - Update flowcontrol to have correct Group and Version everywhere
229771,Add NFS export/import pod examples.
288776,Removing unnecessary code from node lifecycle controller
284461,Add GCE PD tests for windows cluster
287009,Flake fix: poll for webhook registration to complete in reinvocation integration tests
234103,test: improved kubelet disk_manager coverage.
239682,MESOS: multi bug fix for k8sm
279662,Fix unstructured metadata accessors to respect omitempty semantics
242360,"AWS/GCE: Spread PetSet volume creation across zones, create GCE volumes in non-master zones"
278510,fixtodo: add unit test for func FetchConfigFromFileOrCluster
248673,Add a script to extract strings for translation and a sample of it's output
283300,Optimize event list from etcd
230704,expose: Load input object for increased safety
290843,Mirror owner
283213,add PATH de-duplication when searching for plugins
236499,Find local instance ID using metadata service
244429,Add AppArmor status annotation
